ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
94568,2011,2001444,1710285,27987,19833,22655,58731,174343,1390358,7903,319,276120,13481,47630,
94571,2011,226195,118371,2472,3914,17337,4911,12966,142539,859,19,22519,291,6159,
94572,2011,198383,154875,-129,3951,5559,4329,11413,120590,1297,10,17962,160,8004,
94574,2011,573934,197295,61003,2262,12501,10689,55632,416581,1881,58,104723,4983,9234,
94576,2011,6548,4477,-28,0,205,148,387,4204,8,0,733,0,141,
94577,2011,1253858,952678,21096,22348,29937,27760,80568,787362,7551,112,131310,3068,45552,
94578,2011,764316,628929,1806,18387,14755,13383,34584,445285,6050,42,64277,626,38589,
94579,2011,519219,409465,2920,10567,12881,12566,30667,317578,3543,27,47906,776,20130,
94580,2011,651356,526664,2051,15658,15398,14634,36248,389558,5116,48,55392,491,26633,
94582,2011,2209980,1885609,45424,12599,15907,88749,234393,1550562,9157,224,350558,27674,42577,
94583,2011,3243817,2934889,52391,15103,30887,61900,200724,2571100,192136,443,461962,17706,57127,
94585,2011,647092,530422,2542,14442,12636,11827,33355,387978,5246,76,55277,414,26956,
94586,2011,62999,38035,1119,622,1415,1965,6182,43777,160,0,10094,897,1004,
94587,2011,2076121,1733733,36768,36654,33700,55938,149141,1340100,12549,151,240541,11502,69358,
94588,2011,1708818,1341439,67623,11260,23837,43886,151486,1231907,9268,349,265833,15299,33946,
94589,2011,561949,438249,141,12688,14730,6817,21384,318897,4564,64,42518,232,28119,
94590,2011,630748,494264,1596,16337,14181,6372,23536,366076,4378,68,53410,541,33611,
94591,2011,1516493,1185475,5786,26437,39502,31666,92079,964376,8692,141,155812,2565,52786,
94592,2011,27443,23298,186,307,384,1078,2574,18278,115,0,3472,106,807,
94595,2011,847362,367736,38063,4539,61531,23782,68400,593524,1869,161,117450,6364,13260,
94596,2011,1797413,907123,60544,7919,23574,30304,152992,1139970,4306,159,285753,17380,24807,
94597,2011,976381,740299,28097,9103,18873,21239,72781,701402,3126,127,139201,6095,21216,
94598,2011,1607194,1060771,54710,9902,48095,40136,143884,1173429,5508,460,260286,15163,26152,
94599,2011,129560,68341,8090,1231,4112,2473,9716,89494,522,5,18762,1124,2618,
94601,2011,654493,548355,357,17052,7213,9395,22245,323410,5953,25,43286,327,46753,
94602,2011,1024477,768703,19497,12553,19078,28753,80539,703274,4480,149,136753,5724,27836,
94603,2011,460093,387572,-87,11377,6586,7612,16929,218284,5167,32,26394,200,37141,
94605,2011,1001546,765067,6656,17995,24729,28390,69958,609457,5812,151,100818,2502,46848,
94606,2011,605494,504088,3864,15268,6314,6265,20133,361730,4009,17,54757,721,31966,
94607,2011,523961,426884,4398,9706,4726,8346,28684,340502,2511,12,60615,1382,23494,
94608,2011,797350,655852,8125,11801,8942,13087,46781,546797,3833,52,98188,1809,28536,
94609,2011,558818,456669,9207,9156,5847,10131,30975,378035,2351,40,64736,1582,18358,
94610,2011,1511169,1082296,57979,15201,24642,35018,119145,1107754,4780,144,237519,13076,28623,
94611,2011,3011970,1746958,307216,13697,48479,87600,305094,2238800,8511,317,533306,39661,51895,
94612,2011,372962,291109,4138,5630,4915,3873,18758,254198,1475,5,45823,1578,11932,
94618,2011,1271440,823583,73541,4516,21934,34853,126889,960237,3977,113,233765,16488,18040,
94619,2011,830374,603559,24814,11037,17316,24619,67945,551342,4112,108,106207,4995,25941,
94621,2011,351768,292284,681,9614,3680,4190,9785,154324,4025,14,17155,114,33080,
94702,2011,496592,374832,15848,6252,8598,12591,33345,336214,2326,90,57197,1284,14799,
94703,2011,563797,416599,16201,6135,10652,13006,36020,387315,2676,84,68408,2654,15361,
94704,2011,262605,192707,8804,2586,4190,4129,15580,185250,1234,5,35686,1227,6693,
94705,2011,1086788,570563,135137,3597,19132,28578,107301,823617,4402,168,199838,14421,13807,
94706,2011,675868,505739,11688,5552,12529,20804,51426,466688,3440,74,85720,3602,15732,
94707,2011,1081886,511291,125889,3134,28164,30122,106843,792258,4097,187,183322,13713,14477,
94708,2011,889545,464429,72386,2579,26705,27613,88729,667656,2799,160,154035,10677,13927,
94709,2011,338128,227826,15788,2367,7022,6549,23102,245729,1401,11,47491,2214,7478,
94710,2011,217274,158899,5552,2280,2681,4552,14871,147697,1129,11,29244,737,6674,
94801,2011,469937,356592,4683,8866,8083,9450,25587,254299,3888,26,41479,1466,28215,
94803,2011,692100,506021,5444,10216,22166,18900,46510,441685,4035,106,71109,1274,22547,
94804,2011,774795,620858,2862,14251,15456,15075,40251,456408,5535,82,70504,960,38443,
94805,2011,343288,255196,2013,5211,9505,7876,20147,216369,2027,51,34375,539,11734,
94806,2011,1069127,879437,4249,22652,19470,20094,49355,596949,9572,74,81717,968,56348,
94901,2011,2079604,1195086,110516,10858,43523,50216,182907,1496733,12254,224,355341,20585,41950,
94903,2011,1380803,841673,76426,8731,45446,38566,118644,969041,6239,126,200730,11001,28293,
94904,2011,1321098,573713,255685,3488,24297,34134,139284,994072,6514,155,247743,20186,15732,
94920,2011,2024985,796937,473910,3238,29047,52232,234746,1570837,12553,194,410756,36877,21557,
94922,2011,11631,5310,56,220,341,214,590,7649,41,0,1384,0,186,
94923,2011,50610,23936,990,430,3075,2028,4600,32890,178,0,6001,391,1053,
94924,2011,37343,17208,2351,209,1480,1424,3166,24020,114,0,4430,299,728,
94925,2011,673838,392040,57763,2823,11623,17997,64409,505445,1471,67,118620,9222,9373,
94928,2011,912052,706945,5157,17596,21412,16973,47548,564831,6103,267,84810,874,31486,
94930,2011,342862,221205,9985,3248,8256,12497,30649,234912,1360,21,46441,2116,6814,
94931,2011,238563,175454,1573,4656,5701,5442,14645,152535,1290,56,24163,365,7246,
94937,2011,46651,14545,2705,262,2189,1281,3899,32612,154,0,6831,485,610,
94939,2011,642063,339942,78537,1951,11133,15405,69851,482042,2167,36,119565,8343,8348,
94940,2011,5823,2511,11,0,0,0,147,3841,17,0,504,0,65,
94941,2011,2887517,1571131,353528,9029,44981,75954,306636,2187344,11337,233,562861,42360,39161,
94945,2011,765484,483224,24121,5741,22076,23288,67991,526803,2824,109,111138,5694,16153,
94946,2011,61658,30751,2667,0,752,1701,7299,45368,248,0,12055,907,680,
94947,2011,947823,618833,21352,7686,28127,28846,79088,645648,3877,181,128936,5409,21299,
94949,2011,747144,485810,22630,5937,21594,25618,67818,510596,2725,89,105241,6801,16049,
94951,2011,144289,91481,2814,2152,4782,4621,11995,93894,678,129,17016,705,3564,
94952,2011,1091873,712221,36875,12866,27816,25445,81183,735976,4961,346,140696,6022,27917,
94954,2011,1126024,842554,16168,14577,29481,26010,74731,725581,6782,237,122438,3472,31151,
94956,2011,60488,29006,3358,348,2150,1497,4499,40199,251,0,7523,339,1209,
94960,2011,924797,525833,68872,4444,16989,30521,91009,654120,3282,100,148765,11454,12836,
94965,2011,819327,454806,76210,4563,16607,18262,78328,623056,3092,31,146033,8885,14370,
95003,2011,974136,607847,40770,8672,28379,30584,84699,668049,3929,178,135050,7308,21271,
95004,2011,118395,81697,377,1944,3519,2881,7999,75582,640,5,13247,332,3286,
95005,2011,209676,152256,4263,2929,4692,5243,15317,138918,879,56,24891,938,4905,
95006,2011,327443,246423,2895,4637,7176,7963,25417,222206,1157,79,42037,1448,7647,
95008,2011,2141430,1597715,68048,19058,26209,46303,163528,1572228,8778,360,314534,15883,44064,
95010,2011,316666,214488,8127,4305,8020,7404,21653,210493,1386,16,38731,1587,8139,
95012,2011,166710,135903,1085,7378,2612,1849,5058,73553,1800,6,9119,238,11871,
95014,2011,4081060,3193113,241206,15411,48690,103339,390600,3114176,19605,450,763862,67339,57912,
95017,2011,20634,14659,109,430,373,475,1334,12599,94,0,2127,0,621,
95018,2011,254299,180737,3535,3754,5075,6376,17834,172871,962,35,30645,738,5908,
95019,2011,135985,102030,238,5890,1745,2015,5770,62681,1458,2,7977,208,9012,
95020,2011,1645533,1258611,33237,22993,30507,43910,125293,1029594,9454,346,193680,8151,54729,
95023,2011,1113358,871656,9919,24299,24235,25300,70627,657087,8779,168,104618,2718,44716,
95030,2011,2001575,1144558,335350,3282,24132,50826,217034,1555857,7625,153,423728,33418,23721,
95032,2011,2596127,1506447,231324,8760,34754,61171,245802,1914382,8705,266,467194,42304,27927,
95033,2011,596819,422474,39692,3587,10004,15756,57755,442210,1464,302,107044,6986,8342,
95035,2011,2285584,1965215,29434,33735,25648,52224,164410,1555697,13519,203,290836,11674,66305,
95037,2011,1924648,1465217,62382,18468,35382,52774,165461,1319332,7992,376,280970,14806,44016,
95039,2011,37160,27334,94,1005,830,393,1363,22196,233,0,3269,0,1651,
95043,2011,13809,9826,241,224,292,213,779,8684,65,0,1375,0,467,
95045,2011,114338,84623,777,2449,2767,2564,7581,71306,604,8,12802,402,3844,
95046,2011,245317,154380,6086,3063,5235,7460,22301,160598,1024,30,33148,2576,6650,
95050,2011,1278494,1071024,23527,14038,17037,20545,82214,904156,6091,64,177546,6077,34299,
95051,2011,2247571,1880448,55927,20868,32987,38752,153191,1628408,9402,188,318583,12663,51764,
95054,2011,1424454,1305419,32216,7775,5819,20665,102496,1103754,31511,66,222868,10700,32179,
95060,2011,1546176,961592,118112,11880,32235,33911,121060,1068726,6947,325,220045,10156,32130,
95062,2011,1001196,717237,39205,12819,19282,22982,67205,661145,4750,234,118981,4249,28271,
95064,2011,29470,24640,580,71,96,573,1732,20169,176,0,3383,103,883,
95065,2011,299854,201137,5555,2611,8830,8351,23635,204435,1263,133,40263,1884,6663,
95066,2011,661598,481568,19451,4919,13720,17674,59039,461833,2972,118,98359,5255,13890,
95070,2011,4105191,2561174,603579,8854,55122,115170,468603,3148937,19009,593,837673,70330,64390,
95073,2011,416945,267083,12723,4085,9475,11365,33836,279160,1645,131,56120,2919,9318,
95075,2011,23149,16146,140,252,524,938,2125,15158,100,0,2902,154,630,
95076,2011,1534284,1111582,46847,45494,30749,29169,79915,811347,13443,291,131246,4116,83691,
95110,2011,487104,424457,3143,6793,3692,7562,31016,322818,2489,9,63276,1821,17662,
95111,2011,1035449,887357,2844,27704,12035,22695,53153,558852,9432,80,79157,1068,58482,
95112,2011,1148277,983050,18131,19039,10980,18365,66035,737253,6147,65,133196,3479,44840,
95113,2011,114816,77185,9613,635,649,1683,9069,87544,311,0,19408,1011,2126,
95116,2011,730055,639623,2192,18313,5867,12615,29314,351911,7332,43,46359,646,48443,
95117,2011,837963,696640,20261,10664,11619,16252,52719,559657,4381,78,109809,4446,25845,
95118,2011,1169289,956014,12880,13787,20680,31607,91659,792520,5175,222,152427,6081,29166,
95119,2011,370527,300854,3620,4719,7402,10531,28978,249771,1706,75,45603,1429,9959,
95120,2011,2651987,1953239,117476,12152,52044,86129,270156,1934981,9528,636,466781,37249,39847,
95121,2011,914169,764909,6021,20464,13499,27462,65261,554990,6524,95,94074,3450,36867,
95122,2011,811657,709223,482,23689,8113,15715,32500,380694,8792,52,46449,363,56014,
95123,2011,2037826,1693636,25928,30053,36762,51116,145252,1356488,10989,464,240842,7108,58647,
95124,2011,2233815,1749121,74913,18790,37955,61033,195386,1581995,8555,469,339552,21806,47569,
95125,2011,2794237,2098618,110652,20712,43572,70611,249738,2029076,9917,529,472938,30139,52953,
95126,2011,1269203,1034389,26997,13377,12029,25840,96352,898232,5312,80,186548,10542,33100,
95127,2011,1420699,1145748,29829,27757,23326,35466,89542,826548,10530,184,139645,4037,64240,
95128,2011,1125001,919704,31235,13215,15957,22417,76240,774002,5260,95,148892,5545,31805,
95129,2011,1907615,1603541,52813,12761,26189,51347,173054,1400158,9272,331,308203,22134,35391,
95130,2011,527394,435797,11497,5318,8009,13444,41850,369368,2119,57,75221,5023,11511,
95131,2011,1115610,996773,13613,15567,9151,28045,86601,785437,6533,38,152341,6451,31041,
95132,2011,1300130,1076789,23791,21250,22739,36377,97593,865096,7477,199,154856,5634,40055,
95133,2011,662942,558307,11944,13566,9143,16912,45553,419345,3977,42,76449,2076,24999,
95134,2011,755734,710117,9905,5418,2534,5937,45879,596496,5265,9,120980,3796,15652,
95135,2011,1085267,822213,35258,7498,29084,39510,108646,775607,3937,156,172848,12758,19346,
95136,2011,1459493,1219020,20111,20487,24789,34975,103165,984272,7427,220,181889,5516,42667,
95138,2011,1241779,959125,87395,8008,7468,42784,135490,906056,6231,263,221742,16419,23294,
95139,2011,254813,206437,3213,3449,5373,7150,20251,171169,1147,22,31243,1010,6838,
95140,2011,18231,11967,290,0,617,481,1622,13138,34,0,2947,179,206,
95148,2011,1432082,1188527,21446,24260,19483,49788,119439,923180,8364,237,171210,8358,45364,
95202,2011,45680,32720,522,1224,416,224,1026,18489,298,0,2793,0,5308,
95203,2011,197885,154853,377,6594,3851,1638,6150,99448,1507,28,13877,72,14742,
95204,2011,539228,362774,1591,12653,18636,6662,24627,326741,3349,61,53111,1020,24435,
95205,2011,377329,305078,43,20291,5316,2341,6946,141527,3816,21,15316,84,38658,
95206,2011,832571,693482,444,42525,9487,12196,28910,365627,10027,52,41456,279,69129,
95207,2011,798167,541041,9018,19403,28266,9565,35322,462832,5638,106,71238,1980,45158,
95209,2011,878377,660965,5558,18066,24439,15487,47200,533036,7070,154,79063,1145,36605,
95210,2011,455559,365612,216,17169,9108,3421,11451,212993,4906,48,25062,102,38038,
95212,2011,581801,415135,7358,13064,10713,13123,39274,344083,5054,88,58920,1841,25961,
95215,2011,317956,220235,5643,12124,8387,3859,12476,165058,2553,44,24103,487,19442,
95219,2011,997953,654732,33308,11577,22828,21357,74585,693723,5646,76,139839,5680,26352,
95220,2011,191100,112645,5118,3265,5773,3721,13198,121722,1346,46,23604,1274,5677,
95222,2011,104500,54696,1798,1649,6453,2820,7039,67561,555,59,11326,381,2718,
95223,2011,96980,46730,1555,1790,6388,2761,6468,60665,340,5,9902,246,2638,
95228,2011,116486,67268,2271,2388,5071,2966,8091,75611,534,27,11416,315,3060,
95230,2011,15622,10077,84,325,588,210,716,9158,85,0,1358,0,576,
95231,2011,61174,46067,-34,4165,1244,751,2132,30354,540,0,4037,0,4087,
95232,2011,5728,3606,-33,0,245,113,255,3325,16,0,451,0,175,
95236,2011,164031,103544,1916,3188,4280,2549,10303,106185,947,7,20011,597,5201,
95237,2011,82788,59026,-85,2515,2817,1491,4312,48588,530,8,7516,134,3083,
95240,2011,746647,522013,7610,19652,20252,9933,34478,419013,5517,146,66583,1579,36639,
95242,2011,710170,470963,11951,11322,24398,13013,43506,459283,4493,210,76765,2151,20224,
95245,2011,39710,21729,304,813,1815,742,2003,25538,204,6,4067,0,1250,
95246,2011,36831,18703,72,658,2531,800,2044,22645,111,6,3568,0,1033,
95247,2011,115061,55246,2266,2086,6585,2844,7477,73722,552,35,12246,270,3675,
95249,2011,71757,43304,525,1858,3336,1114,3291,43288,432,3,6408,0,2526,
95251,2011,12700,8266,48,435,276,212,612,7721,72,0,1124,0,445,
95252,2011,293282,205462,1515,6760,11230,5838,16952,178317,1988,147,26068,363,9346,
95255,2011,27871,14207,-21,822,1751,431,1235,16135,106,0,2474,0,902,
95257,2011,6523,3545,0,297,307,76,230,3563,24,0,465,0,252,
95258,2011,160423,101210,2513,3142,4933,3325,11550,103852,832,16,19566,704,4932,
95301,2011,627461,466677,3903,14820,16808,8031,26065,348178,5429,244,49744,776,33200,
95303,2011,19928,12587,982,275,371,187,1024,11504,138,0,1881,0,885,
95304,2011,354562,262686,3043,5659,7631,9607,30023,223115,1984,57,42356,2391,11402,
95306,2011,22279,14036,72,439,937,400,1140,14153,93,0,2454,0,729,
95307,2011,623660,498824,3556,23502,11525,7973,23266,314560,6706,53,39077,328,38769,
95310,2011,51768,30227,7,1082,2486,871,2716,32191,229,4,5074,159,1534,
95311,2011,29992,17373,200,978,1557,507,1350,17154,128,2,2386,0,1217,
95313,2011,29047,16138,610,815,621,202,1243,16624,197,0,3096,0,1329,
95315,2011,154130,129848,266,5924,1668,1475,4181,67743,1900,3,7305,0,11727,
95316,2011,153509,111349,1375,3204,3866,2261,8189,92238,1171,8,14709,363,5934,
95317,2011,14949,9523,91,430,0,27,98,7745,105,0,1388,0,914,
95320,2011,305869,214333,5608,6388,7765,5304,17258,188463,2363,35,30540,496,10413,
95321,2011,84719,38766,1045,1518,6573,2021,5432,52893,260,7,8608,307,2134,
95322,2011,140255,106197,1787,4809,3613,1425,5220,71782,1241,10,9650,118,8326,
95323,2011,26890,17561,16,600,642,277,1124,15466,197,0,2508,0,1266,
95324,2011,155864,103730,6747,2278,3148,1669,10111,92089,1202,10,15535,881,5640,
95326,2011,218281,157561,4264,6328,5636,3336,12159,127533,2069,10,19673,511,9503,
95327,2011,112059,71866,202,3011,4829,1693,4965,66618,651,10,9747,153,4320,
95328,2011,40720,34483,-4,1891,375,467,1190,17644,498,0,1839,0,3270,
95329,2011,48196,31463,96,1061,2344,1127,2899,28924,248,6,4251,0,1651,
95330,2011,369383,311296,274,12630,4677,9197,20952,201586,4124,46,26287,296,18450,
95333,2011,48427,30232,1516,1838,980,394,1924,27477,400,0,4249,0,2464,
95334,2011,200431,167306,185,6586,2368,2252,6168,84257,2199,5,9250,70,15750,
95335,2011,5372,2874,-33,0,242,56,214,3323,10,0,504,0,136,
95336,2011,928262,662855,7551,24492,28332,14229,46403,549175,7133,177,82008,1033,37637,
95337,2011,716285,572037,4846,17293,13084,13665,41006,427207,6116,209,64058,1071,28767,
95338,2011,210641,125210,2467,4474,10588,3677,10528,126986,1118,29,18862,324,7282,
95340,2011,696709,464891,12196,11470,20911,8375,33733,435720,4802,230,73744,2199,30120,
95341,2011,349919,284280,8625,11266,4258,1950,6531,155075,3193,11,18604,180,33820,
95345,2011,14511,9485,-2,359,566,188,535,8585,81,0,1165,0,594,
95346,2011,26853,15709,12,698,1476,497,1311,15786,115,2,2318,0,841,
95348,2011,429719,339907,1125,10452,9106,4768,16083,240206,3983,37,33497,496,26589,
95350,2011,898034,638771,8609,23176,29267,9337,37145,529899,6274,88,79097,1484,40309,
95351,2011,455371,367194,267,22064,6427,2988,10636,192365,4479,31,22904,200,40562,
95354,2011,392542,287784,1753,11073,9019,3614,15318,223183,2656,38,35209,642,20868,
95355,2011,1336556,1003980,18681,25961,33204,20880,74606,845283,9291,223,138580,3846,47293,
95356,2011,961836,632567,36997,13869,19905,15908,69291,643512,5551,184,128821,5403,27400,
95357,2011,304582,208757,2767,6813,6623,4693,17034,185079,2339,21,31978,627,11255,
95358,2011,466752,342567,11945,15689,9743,4483,17586,246637,4122,44,36265,622,28437,
95360,2011,192781,151096,590,6806,3705,2341,8045,99248,2065,14,12378,116,11528,
95361,2011,783731,543240,27376,15199,22320,15889,49851,487748,5641,312,81301,2252,27129,
95363,2011,464177,368570,6462,15680,7981,10939,26095,245103,4848,32,33449,681,26187,
95365,2011,50111,41595,0,4553,300,222,685,17186,579,0,1600,0,4854,
95366,2011,515327,372997,9215,7650,11754,10083,35025,332599,3414,88,59198,1693,15004,
95367,2011,434111,347004,1883,16665,8185,8181,22276,238123,4349,52,32769,558,21653,
95368,2011,276687,228658,278,9105,4496,6598,16292,155952,2827,29,21600,287,12559,
95369,2011,16241,10835,31,281,590,201,663,9176,87,0,1357,0,612,
95370,2011,563716,338983,9177,10817,26877,10682,31292,346757,2873,172,54120,1472,18105,
95372,2011,57126,37889,106,1415,2138,1021,2728,34198,366,7,4806,0,1911,
95374,2011,22764,17372,690,763,505,219,611,10449,179,0,1243,0,1477,
95376,2011,1054192,874377,4569,25745,17938,17352,54964,616307,9306,201,89624,1137,46818,
95377,2011,801329,690443,3539,15937,9160,22401,58882,488477,7369,172,75543,1764,29091,
